id,nome,tipo,preco_compra,vida_util_horas,custo_hora_depreciacao
abb6ea41,K1MAX,Impressora FDM,2500.0,10000.0,0.25
7f963203,SCAN RAPTOR,Scanner 3D,6500.0,5000.0,1.3
